-512, 10752, 512
-1280, 11776, 1024
-1024, 11264, -1536
1280, 11776, 0
1536, 11264, 256
512, 11520, -1280
-1792, 9216, 0
-1280, 9216, -768
1280, 7680, -2304
2048, 7424, -2048
2304, 5888, 1024
0, 6144, -1280
-512, 5632, -2048
1536, 6656, -1792
768, 8448, -1024
-1280, 7168, -256
-1280, 7680, 1536
-256, 5120, 768
-1280, 7168, -1792
-1280, 5632, 1024
-1792, 6912, 256
-2048, 5632, 256
512, 6144, 1024
768, 5632, -768
512, 5376, 1536
-1792, 5888, -256
768, 4352, 512
3328, 6144, 0
3840, 8448, -512
-1024, 9984, -1536
0, 10240, 1024
2560, 11520, 512
5120, 11776, -512
-512, 12288, 0
-3584, 11264, -256
-1792, 10752, -768
3584, 11008, -1536
5632, 8960, 0
1280, 8448, -512
-1280, 7680, -1024
-1536, 5376, -1536
4096, 6400, -1536
4352, 5376, -768
256, 6656, 0
-512, 6400, 3072
-1536, 7680, 0
1024, 7424, 768
-1024, 6912, 0
-2048, 7424, 1280
-5120, 5120, 1536
-1024, 6912, 0
1024, 4608, -1536
-1280, 7936, 1024
-1280, 4352, -512
-1024, 3840, -256
2048, 5376, -256
2560, 5120, 256
768, 5376, 0
0, 7680, -768
4096, 7936, -256
2560, 11008, -1536
1024, 11008, 768
-1792, 12032, -768
-1024, 12032, -1280
2560, 11520, -256
2560, 11520, -512
256, 10752, -1792
-3072, 11008, -256
0, 8704, -1024
3328, 7936, -1792
4864, 7168, -1536
2048, 6144, 1024
-1536, 6400, 256
512, 5376, 0
1792, 6912, -1536
2816, 7936, -768
-1792, 7936, 1792
-1536, 7424, 1536
0, 6400, -1024
-1280, 6912, 1280
-1536, 6144, 1024
-3840, 6144, 1024
256, 5632, 2048
2048, 5888, -256
-1024, 5632, 1280
-1536, 5632, 1024
512, 4608, 1792
2048, 5632, -512
2560, 5376, 768
256, 7680, -256
-256, 9728, -256
256, 9216, 768
3584, 11008, -512
3072, 11264, -1536
-256, 12288, -1280
-1536, 11008, 0
-512, 11776, -2816
1536, 9984, -1280
2304, 10240, 256
0, 8960, -768
-512, 8448, 0
512, 6400, -1536
3840, 5888, -1536
2560, 6144, -2560
512, 6144, 512
-1280, 6400, -1280
256, 7424, -256
768, 6912, -512
-256, 6400, -768
-2816, 7680, 512
-3328, 4864, -256
-512, 7680, -3328
